restaurant_name,email,website,source,yelp_rating,yelp_review_count,yelp_price,yelp_categories,yelp_phone,yelp_address,yelp_url
Brennan's,simone@simonesez.com,https://www.brennansneworleans.com/,original,4.1,2431.0,$$$,Cajun/Creole,(504) 525-9711,"417 Royal St, New Orleans, LA, 70130",https://www.yelp.com/biz/brennans-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Acme Oyster House,jakep@acmeoyster.com,http://acmeoyster.com/,original,4.1,9221.0,$$,"Seafood, Cajun/Creole, Live/Raw Food",(504) 522-5973,"724 Iberville St, New Orleans, LA, 70130",https://www.yelp.com/biz/acme-oyster-house-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Port of Call,soniat@portofcallnola.com,http://portofcallnola.com/,original,4.0,2047.0,$$,"Steakhouses, Burgers, Tiki Bars",(504) 523-0120,"838 Esplanade Ave, New Orleans, LA, 70116",https://www.yelp.com/biz/port-of-call-new-orleans-2?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Luke,mjoyce@brg-hospitality.com,http://www.lukeneworleans.com/,original,4.2,5431.0,$$$,"French, German, Cajun/Creole",(504) 378-2840,"333 Saint Charles Ave, New Orleans, LA, 70130",https://www.yelp.com/biz/luke-new-orleans-3?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Mambo’s,info@mambosnola.com,https://www.mambosnola.com/,original,4.2,3163.0,$$,"Cajun/Creole, Seafood, Soul Food",(504) 407-3717,"411 Bourbon St, New Orleans, LA, 70130",https://www.yelp.com/biz/mambo-s-new-orleans-2?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Oceana Grill,ramsey@oceanagrill.com,http://www.oceanagrill.com/,original,4.2,10647.0,$$,"Cajun/Creole, Seafood, Breakfast & Brunch",(504) 525-6002,"739 Conti St, New Orleans, LA, 70130",https://www.yelp.com/biz/oceana-grill-new-orleans-4?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Gumbo Shop,restaurant@gumboshop.com,http://gumboshop.com/,original,3.9,4913.0,$$,Cajun/Creole,(504) 525-1486,"630 Saint Peter St, New Orleans, LA, 70116",https://www.yelp.com/biz/gumbo-shop-new-orleans-6?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Deanie's Seafood Restaurant in the French Quarter,customerservice@deanies.com,https://deanies.com/metairie-deanie-s-seafood-restaurant-and-seafood-market-bucktown-main-location-downtown,original,3.7,3341.0,$$,"Seafood, Cajun/Creole, Salad",(504) 581-1316,"841 Iberville St, New Orleans, LA, 70112",https://www.yelp.com/biz/deanies-seafood-new-orleans-4?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
"Cafe Beignet, Bourbon Street",specialorders@cafebeignet.com,https://www.cafebeignet.com/?y_source=1_MTAwNDcwOTkzMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,original,3.7,1434.0,$$,"Cajun/Creole, Breakfast & Brunch, Sandwiches",(504) 525-2611,"311 Bourbon St, New Orleans, LA, 70130",https://www.yelp.com/biz/cafe-beignet-new-orleans-new-orleans-4?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Olde Nola Cookery,contact@nolacookery.com,https://www.nolacookery.com/,original,4.2,2221.0,$$,"Cajun/Creole, Seafood, Soul Food",(504) 525-4577,"205 Bourbon St, New Orleans, LA, 70130",https://www.yelp.com/biz/olde-nola-cookery-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Café Fleur De Lis - French Quarter,manager@cafefleurdelis.com,http://cafefleurdelis.com/,original,4.3,3288.0,$$,"Breakfast & Brunch, Cafes, Cocktail Bars",(504) 412-8065,"900 Royal St, New Orleans, LA, 70116",https://www.yelp.com/biz/caf%C3%A9-amelie-new-orleans-2?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Neyow's Creole Café,office@neyows.com,http://www.neyows.com/,original,4.0,2627.0,$$,Cajun/Creole,(504) 827-5474,"3332 Bienville, New Orleans, LA, 70119",https://www.yelp.com/biz/neyows-creole-cafe-new-orleans-3?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
The Court of Two Sisters,court2si@courtoftwosisters.com,http://www.courtoftwosisters.com/,original,3.5,2888.0,$$$,"Cajun/Creole, Breakfast & Brunch",(504) 522-7261,"613 Royal St, New Orleans, LA, 70130",https://www.yelp.com/biz/the-court-of-two-sisters-new-orleans-5?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Felix's Restaurant & Oyster Bar,nadinehoover@felixs.com,https://felixs.com/,original,3.9,5164.0,$$,"Seafood, Cajun/Creole",(504) 522-4440,"739 Iberville St, New Orleans, LA, 70130",https://www.yelp.com/biz/felixs-restaurant-and-oyster-bar-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Coop's Place,charles@coopsplace.net,http://www.coopsplace.net/,original,3.6,3680.0,$$,"Cajun/Creole, Bars",(504) 525-9053,"1109 Decatur St, New Orleans, LA, 70116",https://www.yelp.com/biz/coops-place-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Bourbon House,sparksc@bourbonhouse.com,http://bourbonhouse.com/,original,3.6,2636.0,$$$,"Cajun/Creole, Seafood, Venues & Event Spaces",(504) 522-0111,"144 Bourbon St, New Orleans, LA, 70130",https://www.yelp.com/biz/bourbon-house-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
"Mr. Ed's Oyster Bar & Fish House, French Quarter (Bienville)",mredsgroup@gmail.com,http://mredsrestaurants.com/oyster-bar,original,4.3,2195.0,$$,"Cajun/Creole, Seafood",(504) 309-4848,"512 Bienville St, New Orleans, LA, 70130",https://www.yelp.com/biz/mr-eds-oyster-bar-new-orleans-4?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Dat Dog,bill@datdog.com,https://www.datdog.com/,original,4.1,1358.0,$$,"Hot Dogs, Sandwiches, Cocktail Bars",(504) 309-3362,"601 Frenchmen St, New Orleans, LA, 70116",https://www.yelp.com/biz/dat-dog-new-orleans-7?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Palace Café by Dickie Brennan & Co.,bsmith@palacecafe.com,http://www.palacecafe.com/,original,4.8,26.0,,"Coffee & Tea, Wine Bars",,"619 Royal St, New Orleans, LA, 70130",https://www.yelp.com/biz/patula-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Creole House Restaurant & Oyster Bar,camille.collins@creolecuisine.com,https://creolehouserestaurant.com/,original,3.9,2899.0,$$,"Cajun/Creole, Seafood, Breakfast & Brunch",(504) 323-2109,"509 Canal St, New Orleans, LA, 70130",https://www.yelp.com/biz/creole-house-restaurant-and-oyster-bar-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Royal House Oyster Bar,s.young@royalhouserestaurant.com,https://royalhouserestaurant.com/,original,3.8,5988.0,$$,"Cajun/Creole, Seafood, Sandwiches",(504) 528-2601,"441 Royal St, New Orleans, LA, 70130",https://www.yelp.com/biz/royal-house-oyster-bar-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Mother's Restaurant,mothersrestaurantno@gmail.com,https://mothersrestaurant.net/menus/,original,3.5,6533.0,$$,"Cajun/Creole, Breakfast & Brunch, Sandwiches",(504) 523-9656,"401 Poydras St, New Orleans, LA, 70130",https://www.yelp.com/biz/mothers-restaurant-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Willa Jean,info@willajean.com,https://willajean.com/,original,4.3,2669.0,$$,"Bakeries, Breakfast & Brunch, Southern",(504) 509-7334,"611 O'Keefe Ave, New Orleans, LA, 70113",https://www.yelp.com/biz/willa-jean-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Steamboat NATCHEZ - Official Site,charters@neworleanssteamboat.com,https://www.steamboatnatchez.com/,original,4.3,953.0,$$$,"Cajun/Creole, Tours",(800) 445-4109,"1 Poydras St, New Orleans, LA, 70130",https://www.yelp.com/biz/paddlewheeler-creole-queen-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Central Grocery and Deli,centralgrocery923@yahoo.com,https://centralgrocery.com/,original,4.3,1946.0,$$,"Grocery, Delis, Sandwiches",,"923 Decatur St, New Orleans, LA, 70116",https://www.yelp.com/biz/central-grocery-and-deli-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Hard Rock Cafe,neworleanssales@hardrock.com,https://cafe.hardrock.com/new-orleans/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings,original,3.2,427.0,$$,"American, Burgers",(504) 529-5617,"125 Bourbon St, New Orleans, LA, 70130",https://www.yelp.com/biz/hard-rock-cafe-new-orleans-4?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Drago's Seafood Restaurant - Hilton New Orleans Riverside,michelle@dragosrestaurant.com,https://www.dragosrestaurant.com/,original,3.6,4276.0,$$$,Seafood,(504) 584-3911,"2 Poydras St, New Orleans, LA, 70140",https://www.yelp.com/biz/dragos-seafood-restaurant-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Melba's on Elysian Fields Ave,scott@melbas.com,https://www.melbas.com/,original,3.5,773.0,$$,"Chicken Wings, Sandwiches, Cajun/Creole",(504) 267-7765,"1525 Elysian Fields Ave, New Orleans, LA, 70117",https://www.yelp.com/biz/melbas-new-orleans-3?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Mulate's | The Original Cajun Restaurant,chantelle@mulates.com,http://mulates.com/,original,3.2,1517.0,$$,"Cajun/Creole, Seafood",(504) 522-1492,"201 Julia St, New Orleans, LA, 70130",https://www.yelp.com/biz/mulates-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Red Fish Grill,hrink@neworleans-food.com,https://www.redfishgrill.com/,original,4.1,2520.0,$$,"Seafood, Cajun/Creole",(504) 598-1200,"115 Bourbon St, New Orleans, LA, 70130",https://www.yelp.com/biz/red-fish-grill-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
French Market Restaurant and Bar - The Original,catrena@fmnola.com,https://www.fmnola.com/,original,3.6,1316.0,$$,"Seafood, Cajun/Creole, Bars",(504) 525-7879,"1001 Decatur St, New Orleans, LA, 70116",https://www.yelp.com/biz/the-original-french-market-restaurant-and-bar-new-orleans-2?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Antoine's Restaurant,wchatelain@antoines.com,http://www.antoines.com/,original,3.4,2118.0,$$$,"French, Cajun/Creole, Seafood",(504) 581-4422,"713 Saint Louis St, New Orleans, LA, 70130",https://www.yelp.com/biz/antoines-restaurant-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Bacchanal Fine Wine & Spirits,catering@bacchanalwine.com,http://www.bacchanalwine.com/,original,4.4,1332.0,$$,"Beer, Wine & Spirits, Wine Bars, Jazz & Blues",(504) 948-9111,"600 Poland Ave, New Orleans, LA, 70117",https://www.yelp.com/biz/bacchanal-wine-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
DISTRICT Donuts Sliders Brew,stephen@turnchange.com,http://www.districtdonuts.com/,original,4.4,2352.0,$$,"Coffee & Tea, Donuts, Burgers",(504) 570-6945,"2209 Magazine St, New Orleans, LA, 70130",https://www.yelp.com/biz/district-donuts-sliders-brew-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Mr. B's Bistro,dine@mrbsbistro.com,http://www.mrbsbistro.com/,original,4.2,2698.0,$$$,"Cajun/Creole, Breakfast & Brunch, Cocktail Bars",(504) 523-2078,"201 Royal St, New Orleans, LA, 70130",https://www.yelp.com/biz/mr-bs-bistro-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
St. Roch Market,will@strochmarket.com,https://www.strochmarket.com/,original,4.3,695.0,$$,Food Court,(504) 609-3813,"2381 St Claude Ave, New Orleans, LA, 70117",https://www.yelp.com/biz/st-roch-market-new-orleans-5?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
The Joint,jenny@alwayssmokin.com,http://alwayssmokin.com/,original,4.4,1517.0,$$,"Barbeque, Southern, Sandwiches",(504) 949-3232,"701 Mazant St, New Orleans, LA, 70117",https://www.yelp.com/biz/the-joint-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Walk-On's Sports Bistreaux - New Orleans,houma@walk-ons.com,https://locate.walk-ons.com/la/neworleans/restaurants-4.html,original,3.6,762.0,$$,"American, Cajun/Creole, Sports Bars",(504) 309-6530,"1009 Poydras St, New Orleans, LA, 70112",https://www.yelp.com/biz/walk-ons-sports-bistreaux-new-orleans-new-orleans-2?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Landry's Seafood House,rblanchette@landrysseafood.com,https://www.landrysseafood.com/location/landrys-seafood-new-orleans-lake-pontchartrain/,original,3.7,596.0,$$,Seafood,(504) 581-9825,"620 Decatur St, New Orleans, LA, 70130",https://www.yelp.com/biz/landrys-seafood-house-new-orleans-4?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Li'l Dizzy's Cafe,arkesha@lildizzyscafe.net,http://lildizzyscafe.net/,original,4.4,1090.0,$$,Cajun/Creole,(504) 766-8687,"1500 Esplanade Ave, New Orleans, LA, 70116",https://www.yelp.com/biz/lil-dizzys-cafe-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Blue Oak BBQ,info@blueoakbbq.com,http://www.blueoakbbq.com/,original,4.3,1521.0,$$,"Barbeque, Caterers, Bars",(504) 822-2583,"900 N Carrollton St, New Orleans, LA, 70119",https://www.yelp.com/biz/blue-oak-bbq-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
The Camellia Grill,camellia1grill@yahoo.com,http://www.camelliagrillnola.com/,original,4.1,1244.0,$$,"American, Breakfast & Brunch",(504) 309-2679,"626 S Carrollton Ave, New Orleans, LA, 70118",https://www.yelp.com/biz/the-camellia-grill-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Mandina's Restaurant,mandinas1932@yahoo.com,https://www.mandinasrestaurant.com/,original,4.0,970.0,$$,"Cajun/Creole, Italian, Seafood",(504) 482-9179,"3800 Canal St, New Orleans, LA, 70119",https://www.yelp.com/biz/mandinas-restaurant-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
New Orleans Creole Cookery,parties@neworleanscreolecookery.com,http://neworleanscreolecookery.com/,original,3.5,1689.0,$$,"Cajun/Creole, American, Bars",(504) 524-9632,"508 Toulouse St, New Orleans, LA, 70130",https://www.yelp.com/biz/new-orleans-creole-cookery-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Nirvana Indian Cuisine,nirvana@mindspring.com,http://nirvananola.com/,original,3.8,567.0,$$,Indian,(504) 894-9797,"4308 Magazine St, New Orleans, LA, 70115",https://www.yelp.com/biz/nirvana-indian-cuisine-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Atchafalaya,fivearest@gmail.com,http://www.atchafalayarestaurant.com/,original,4.5,2494.0,$$$,"Cajun/Creole, Breakfast & Brunch, Cocktail Bars",(504) 891-9626,"901 Louisiana Ave, New Orleans, LA, 70115",https://www.yelp.com/biz/atchafalaya-restaurant-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Jacques-Imo's,info@jacquesimos.com,http://jacques-imos.com/,original,4.4,2881.0,$$$,Cajun/Creole,(504) 861-0886,"8324 Oak St, New Orleans, LA, 70118",https://www.yelp.com/biz/jacques-imos-cafe-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Dave & Buster's New Orleans,colleen_prina@daveandbusters.com,https://www.daveandbusters.com/us/en/about/locations/new-orleans,original,1.9,481.0,$$,"Arcades, Sports Bars, American",(504) 226-3300,"1200 Poydras St, New Orleans, LA, 70113",https://www.yelp.com/biz/dave-and-busters-new-orleans-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
zesty creole,zestycreole@gmail.com,http://zestycreole.com/,original,4.5,789.0,$$,"Cajun/Creole, Breakfast & Brunch, Sandwiches",(504) 766-6368,"827 Canal St, New Orleans, LA, 70130",https://www.yelp.com/biz/zesty-creole-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Market Cafe,brjenk998@gmail.com,http://www.marketcafenola.com/,original,3.4,810.0,$$,"Cajun/Creole, Breakfast & Brunch, Cafes",(504) 527-5000,"1000 Decatur St, New Orleans, LA, 70116",https://www.yelp.com/biz/the-market-cafe-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Coterie Restaurant & Oyster Bar,coterie@coterienola.com,http://www.coterienola.com/,original,4.2,1308.0,$$,"Cajun/Creole, Breakfast & Brunch, Seafood",(504) 529-8600,"135 Decatur St, New Orleans, LA, 70130",https://www.yelp.com/biz/coterie-restaurant-and-oyster-bar-new-orleans-2?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
